timestamp,state,mode,duplex_mode,mcc,mnc,cell_id,pcid,tac,arfcn,band,nr_dl_bandwidth,rsrp,rsrq,sinr,tx_power,srxlev,cqi
17:34:16,NOCONN,NR5G-SA,TDD,1,1,1234501,500,64,632544,78,3,-92,-11,16,1,,9
17:34:16,NOCONN,NR5G-SA,TDD,1,1,1234501,500,64,632544,78,3,-92,-11,16,1,,9
17:34:17,NOCONN,NR5G-SA,TDD,1,1,1234501,500,64,632544,78,3,-92,-11,16,1,,10
17:34:17,NOCONN,NR5G-SA,TDD,1,1,1234501,500,64,632544,78,3,-92,-11,16,1,,10
17:34:17,NOCONN,NR5G-SA,TDD,1,1,1234501,500,64,632544,78,3,-92,-11,16,1,,10
17:34:17,NOCONN,NR5G-SA,TDD,1,1,1234501,500,64,632544,78,3,-92,-11,16,1,,10
17:34:17,NOCONN,NR5G-SA,TDD,1,1,1234501,500,64,632544,78,3,-92,-11,16,1,,10
17:34:17,NOCONN,NR5G-SA,TDD,1,1,1234501,500,64,632544,78,3,-92,-11,16,1,,10
17:34:17,NOCONN,NR5G-SA,TDD,1,1,1234501,500,64,632544,78,3,-92,-11,15,1,,9
17:34:17,NOCONN,NR5G-SA,TDD,1,1,1234501,500,64,632544,78,3,-92,-11,15,1,,9
17:34:17,NOCONN,NR5G-SA,TDD,1,1,1234501,500,64,632544,78,3,-92,-11,15,1,,9
17:34:18,NOCONN,NR5G-SA,TDD,1,1,1234501,500,64,632544,78,3,-92,-11,15,1,,10
17:34:18,NOCONN,NR5G-SA,TDD,1,1,1234501,500,64,632544,78,3,-91,-11,15,1,,10
17:34:18,NOCONN,NR5G-SA,TDD,1,1,1234501,500,64,632544,78,3,-91,-11,15,1,,10
17:34:18,NOCONN,NR5G-SA,TDD,1,1,1234501,500,64,632544,78,3,-91,-11,15,1,,10
17:34:18,NOCONN,NR5G-SA,TDD,1,1,1234501,500,64,632544,78,3,-92,-11,15,1,,10
17:34:18,NOCONN,NR5G-SA,TDD,1,1,1234501,500,64,632544,78,3,-92,-11,15,1,,10
17:34:18,NOCONN,NR5G-SA,TDD,1,1,1234501,500,64,632544,78,3,-91,-11,15,1,,9
17:34:18,NOCONN,NR5G-SA,TDD,1,1,1234501,500,64,632544,78,3,-91,-11,15,1,,9
17:34:19,NOCONN,NR5G-SA,TDD,1,1,1234501,500,64,632544,78,3,-92,-11,15,1,,10
17:34:19,NOCONN,NR5G-SA,TDD,1,1,1234501,500,64,632544,78,3,-92,-11,15,1,,10
17:34:19,NOCONN,NR5G-SA,TDD,1,1,1234501,500,64,632544,78,3,-92,-11,15,1,,9
17:34:19,NOCONN,NR5G-SA,TDD,1,1,1234501,500,64,632544,78,3,-92,-11,15,1,,9
17:34:19,NOCONN,NR5G-SA,TDD,1,1,1234501,500,64,632544,78,3,-92,-11,15,1,,10
17:34:19,NOCONN,NR5G-SA,TDD,1,1,1234501,500,64,632544,78,3,-92,-11,15,1,,10
17:34:19,NOCONN,NR5G-SA,TDD,1,1,1234501,500,64,632544,78,3,-92,-11,15,1,,10
17:34:19,NOCONN,NR5G-SA,TDD,1,1,1234501,500,64,632544,78,3,-92,-11,15,1,,10
17:34:19,NOCONN,NR5G-SA,TDD,1,1,1234501,500,64,632544,78,3,-92,-11,15,1,,10
17:34:20,NOCONN,NR5G-SA,TDD,1,1,1234501,500,64,632544,78,3,-92,-11,15,1,,10
17:34:20,NOCONN,NR5G-SA,TDD,1,1,1234501,500,64,632544,78,3,-93,-11,15,1,,10
17:34:20,NOCONN,NR5G-SA,TDD,1,1,1234501,500,64,632544,78,3,-94,-11,15,1,,10
17:34:20,NOCONN,NR5G-SA,TDD,1,1,1234501,500,64,632544,78,3,-92,-11,15,1,,10
17:34:20,NOCONN,NR5G-SA,TDD,1,1,1234501,500,64,632544,78,3,-92,-11,15,1,,9
17:34:20,NOCONN,NR5G-SA,TDD,1,1,1234501,500,64,632544,78,3,-92,-11,15,1,,9
