timestamp,ran_ue_id,cell_id,dl_bitrate,ul_bitrate,dl_tx,ul_tx,dl_retx,ul_retx,pusch_snr,epre,ul_phr,ul_path_loss,p_ue,dl_mcs,ul_mcs,turbo_decoder_min,turbo_decoder_avg,turbo_decoder_max,cqi,ri,initial_ta
2025-02-05 18:06:43,3,1,25309,54266,8,10,0,0,6.7,-107.9,38,68.5,-15,26,3,1,1.9,2,15,2,5
2025-02-05 18:06:43,2,1,66800,6690,12,4,0,0,6,-111.2,38,70.7,-15,25,2.8,2,2.75,3,15,2,5
2025-02-05 18:06:43,5,1,177900,104212,27,18,2,0,12.8,-102,38,67.1,-14,13.1,7.9,1,1.909,3,11,2,5
2025-02-05 18:06:43,3,1,3262,0,1,0,0,0,6.7,-107.9,38,68.5,-15,26,15,2,5
2025-02-05 18:06:43,2,1,66187,6900,9,4,0,0,5.8,-110.2,38,72,-15,25,2.8,2,2.75,4,15,2,5
2025-02-05 18:06:44,5,1,47787,86825,20,18,2,0,12.7,-101.8,38,68.9,-14,13.7,6.4,1,1.65,3,9,2,5
2025-02-05 18:06:44,3,1,3262,0,1,0,0,0,6.7,-107.9,38,68.5,-15,26,15,2,5
2025-02-05 18:06:44,2,1,73912,12275,12,6,0,0,5.7,-109.5,38,72.2,-15,25,2.7,2,2.833,4,15,2,5
2025-02-05 18:06:45,5,1,3146887,186212,69,31,1,0,11.3,-103.1,38,67.2,-14,14.1,7.5,1,1.737,5,9,2,5
2025-02-05 18:06:45,3,1,4462,0,2,0,0,0,6.7,-107.9,38,68.5,-15,26,15,2,5
2025-02-05 18:06:45,2,1,85562,10575,17,6,0,0,3.6,-112.4,38,73.8,-15,25,3,3,3,3,15,2,5
2025-02-05 18:06:45,5,1,40763,76618,17,16,1,0,11.9,-103.5,38,67.2,-14,13.8,7.1,1,1.889,4,10,2,5
2025-02-05 18:06:45,3,1,3163,0,1,0,0,0,6.7,-107.9,38,68.5,-15,26,15,2,5
2025-02-05 18:06:45,2,1,111660,26206,25,16,0,0,3.7,-111.9,38,71.4,-15,25,2.2,2,2.75,5,15,2,5
2025-02-05 18:06:46,5,1,47525,76087,20,17,1,0,15.3,-99.2,38,69.5,-14,14.1,5.5,1,1.737,3,10,2,5
2025-02-05 18:06:46,3,1,3262,0,1,0,0,0,6.7,-107.9,38,68.5,-15,26,15,2,5
2025-02-05 18:06:46,2,1,175150,48025,45,33,0,0,4.5,-109.4,38,68.5,-15,25.6,1.7,1,2.303,4,15,2,5
2025-02-05 18:06:47,5,1,47975,68325,19,16,1,0,17.5,-98.7,38,66.2,-14,13.4,6.7,1,1.722,3,10,2,5
2025-02-05 18:06:47,3,1,6525,0,2,0,0,0,6.7,-107.9,38,68.5,-15,26,15,2,5
2025-02-05 18:06:47,2,1,70425,13037,14,7,1,0,6.8,-109.2,38,68.5,-15,25.5,2.9,2,2.571,4,15,2,5
2025-02-05 18:06:47,5,1,42737,66037,17,15,1,0,13.9,-101.4,38,67.6,-14,12.6,8,1,1.882,4,10,2,5
2025-02-05 18:06:47,3,1,1200,0,1,0,0,0,6.7,-107.9,38,68.5,-15,26,15,2,5
2025-02-05 18:06:47,2,1,68387,8812,13,5,1,0,5.9,-109.3,38,72.9,-15,25,3,2,2.6,3,15,2,5
2025-02-05 18:06:48,5,1,41900,63812,16,14,2,0,10.8,-103,38,68.8,-14,13.6,5.9,1,1.875,3,9,2,5
2025-02-05 18:06:48,3,1,4996100,66937,74,14,1,0,3.6,-111,38,70.7,-14,26.1,2.5,1,2,3,15,2,5
2025-02-05 18:06:48,2,1,65587,7050,12,4,0,0,5,-110.7,38,72.2,-15,25,3,2,2.5,3,15,2,5
2025-02-05 18:06:49,5,1,43563,70703,18,20,1,0,12.9,-102,36,68.4,-13,13.5,4.8,1,1.714,3,11,2,5
2025-02-05 18:06:49,3,1,7732569,20351,101,13,4,0,7.6,-107.9,38,70.7,-14,24.1,2.2,1,2.077,5,15,2,5
2025-02-05 18:06:49,2,1,70654,9721,15,6,1,1,3.7,-110.8,38,73.4,-15,24.6,1.5,2,3,5,15,2,5
2025-02-05 18:06:49,5,1,44725,69300,17,17,4,0,13.4,-102,38,67.9,-14,13.8,6.8,1,2,3,10,2,5
2025-02-05 18:06:49,3,1,4112,0,2,0,0,0,7.6,-107.9,38,70.7,-14,24,15,2,5
